R_version	name	version	date_time	hash	binary_location	status
4.3.0	glue	1.6.2	2023-06-02T18:58:45Z	00d6cd245f7df1f2721ae176a4bdc8f9	/cloud/project/ds_2023/r_4_2_cache/library/glue/1.6.2/00d6cd245f7df1f2721ae176a4bdc8f9/glue	active
4.3.0	grDevices	4.3.0	2023-06-02T18:58:45Z	c6fe5287993998247d07b388269e8bfb	/cloud/project/ds_2023/r_4_2_cache/library/grDevices/4.3.0/c6fe5287993998247d07b388269e8bfb/grDevices	active
4.3.0	graphics	4.3.0	2023-06-02T18:58:46Z	5f57086f801ee66619ea36e6a85b59cf	/cloud/project/ds_2023/r_4_2_cache/library/graphics/4.3.0/5f57086f801ee66619ea36e6a85b59cf/graphics	active
4.3.0	grid	4.3.0	2023-06-02T18:58:46Z	0dfafbc311b568042842edde6cda81a1	/cloud/project/ds_2023/r_4_2_cache/library/grid/4.3.0/0dfafbc311b568042842edde6cda81a1/grid	active
4.3.0	highr	0.10	2023-06-02T18:58:46Z	233f2a74522ea6959f946223a8c877c2	/cloud/project/ds_2023/r_4_2_cache/library/highr/0.10/233f2a74522ea6959f946223a8c877c2/highr	active
4.3.0	hms	1.1.3	2023-06-02T18:58:47Z	fb9dfd8c169b445b88b249b31971c88c	/cloud/project/ds_2023/r_4_2_cache/library/hms/1.1.3/fb9dfd8c169b445b88b249b31971c88c/hms	active
4.3.0	htmltools	0.5.5	2023-06-02T18:58:47Z	d418bd6f1843990524f42d915ba92ca9	/cloud/project/ds_2023/r_4_2_cache/library/htmltools/0.5.5/d418bd6f1843990524f42d915ba92ca9/htmltools	active
4.3.0	htmlwidgets	1.6.2	2023-06-02T18:58:48Z	dae4135a353a4194e47b01c08fcbcbaa	/cloud/project/ds_2023/r_4_2_cache/library/htmlwidgets/1.6.2/dae4135a353a4194e47b01c08fcbcbaa/htmlwidgets	active
4.3.0	httpuv	1.6.11	2023-06-02T18:58:49Z	346b3539ee16a2dc4b0376adf5a66dd7	/cloud/project/ds_2023/r_4_2_cache/library/httpuv/1.6.11/346b3539ee16a2dc4b0376adf5a66dd7/httpuv	active
4.3.0	httr	1.4.6	2023-06-02T18:58:49Z	64e1413484d4a673b644fa2b89762dc4	/cloud/project/ds_2023/r_4_2_cache/library/httr/1.4.6/64e1413484d4a673b644fa2b89762dc4/httr	active
4.3.0	httr2	0.2.3	2023-06-02T18:58:49Z	34e43a104450213a2f051a652845af94	/cloud/project/ds_2023/r_4_2_cache/library/httr2/0.2.3/34e43a104450213a2f051a652845af94/httr2	active
4.3.0	ini	0.3.1	2023-06-02T18:58:50Z	551a9f360cb99728216dcef81ee607f2	/cloud/project/ds_2023/r_4_2_cache/library/ini/0.3.1/551a9f360cb99728216dcef81ee607f2/ini	available
4.3.0	jquerylib	0.1.4	2023-06-02T18:58:50Z	3f6707eef7a52e919f083cfe0239f29b	/cloud/project/ds_2023/r_4_2_cache/library/jquerylib/0.1.4/3f6707eef7a52e919f083cfe0239f29b/jquerylib	available
4.3.0	jsonlite	1.8.4	2023-06-02T18:58:51Z	98018f81d37e85455daacf911866e45a	/cloud/project/ds_2023/r_4_2_cache/library/jsonlite/1.8.4/98018f81d37e85455daacf911866e45a/jsonlite	active
4.3.0	knitr	1.43	2023-06-02T18:58:51Z	646274bd421568d1602f18157b88730c	/cloud/project/ds_2023/r_4_2_cache/library/knitr/1.43/646274bd421568d1602f18157b88730c/knitr	active
4.3.0	later	1.3.1	2023-06-02T18:58:52Z	c0539244c5980d47c1331275319a927c	/cloud/project/ds_2023/r_4_2_cache/library/later/1.3.1/c0539244c5980d47c1331275319a927c/later	available
4.3.0	lattice	0.21.8	2023-06-02T18:58:52Z	31d99570b1cd33030b57d5ecb2de8aa7	/cloud/project/ds_2023/r_4_2_cache/library/lattice/0.21-8/31d99570b1cd33030b57d5ecb2de8aa7/lattice	active
4.3.0	lifecycle	1.0.3	2023-06-02T18:58:53Z	75e2bd94a18e9c1e5062c8a56f9c0d0f	/cloud/project/ds_2023/r_4_2_cache/library/lifecycle/1.0.3/75e2bd94a18e9c1e5062c8a56f9c0d0f/lifecycle	active
4.3.0	magrittr	2.0.3	2023-06-02T18:58:53Z	aac5e9833bd5b3604c1380d9701eff62	/cloud/project/ds_2023/r_4_2_cache/library/magrittr/2.0.3/aac5e9833bd5b3604c1380d9701eff62/magrittr	active
4.3.0	memoise	2.0.1	2023-06-02T18:58:53Z	9e0470fa957c26e1b2f75cfe32d22c6b	/cloud/project/ds_2023/r_4_2_cache/library/memoise/2.0.1/9e0470fa957c26e1b2f75cfe32d22c6b/memoise	available
4.3.0	methods	4.3.0	2023-06-02T18:58:53Z	0ce103d44ad036715cdd029c205e36f4	/cloud/project/ds_2023/r_4_2_cache/library/methods/4.3.0/0ce103d44ad036715cdd029c205e36f4/methods	active
4.3.0	mgcv	1.8.42	2023-06-02T18:58:53Z	3a88ad283a5cdbaf2527eeb4198612cd	/cloud/project/ds_2023/r_4_2_cache/library/mgcv/1.8-42/3a88ad283a5cdbaf2527eeb4198612cd/mgcv	active
4.3.0	mime	0.12	2023-06-02T18:58:53Z	49b6b1e4693e3ac3c43351a3fd980010	/cloud/project/ds_2023/r_4_2_cache/library/mime/0.12/49b6b1e4693e3ac3c43351a3fd980010/mime	active
4.3.0	miniUI	0.1.1.1	2023-06-02T18:58:54Z	d28ea2db4da74d7b98088928496d729b	/cloud/project/ds_2023/r_4_2_cache/library/miniUI/0.1.1.1/d28ea2db4da74d7b98088928496d729b/miniUI	available
4.3.0	nlme	3.1.162	2023-06-02T18:58:54Z	63b2deea5009fee52016e0b125f7128d	/cloud/project/ds_2023/r_4_2_cache/library/nlme/3.1-162/63b2deea5009fee52016e0b125f7128d/nlme	active
4.3.0	nnet	7.3.18	2023-06-02T18:58:54Z	7b721fcfbfc6eb1b0dc4ea5f39087d2d	/cloud/project/ds_2023/r_4_2_cache/library/nnet/7.3-18/7b721fcfbfc6eb1b0dc4ea5f39087d2d/nnet	active
4.3.0	openssl	2.0.6	2023-06-02T18:58:54Z	df722e29e06cc151f79dc944a351f036	/cloud/project/ds_2023/r_4_2_cache/library/openssl/2.0.6/df722e29e06cc151f79dc944a351f036/openssl	active
4.3.0	pak	0.5.1	2023-06-02T18:58:57Z	462091ca3846074d4dc330bf8cf75bd2	/cloud/project/ds_2023/r_4_2_cache/library/pak/0.5.1/462091ca3846074d4dc330bf8cf75bd2/pak	available
4.3.0	parallel	4.3.0	2023-06-02T18:58:58Z	afa4a97c71e4bb771ef8ffa2d6ef2614	/cloud/project/ds_2023/r_4_2_cache/library/parallel/4.3.0/afa4a97c71e4bb771ef8ffa2d6ef2614/parallel	active
4.3.0	pillar	1.9.0	2023-06-02T18:58:58Z	8e6e42aa6c847297a9d94227b311ec20	/cloud/project/ds_2023/r_4_2_cache/library/pillar/1.9.0/8e6e42aa6c847297a9d94227b311ec20/pillar	active
4.3.0	pkgbuild	1.4.0	2023-06-02T18:58:59Z	8e629d8cd1c5a8e2dbae7f059fcc0215	/cloud/project/ds_2023/r_4_2_cache/library/pkgbuild/1.4.0/8e629d8cd1c5a8e2dbae7f059fcc0215/pkgbuild	active
4.3.0	pkgcache	2.1.0	2023-06-02T18:58:59Z	5e81b120b36672ebf82a106ada891fce	/cloud/project/ds_2023/r_4_2_cache/library/pkgcache/2.1.0/5e81b120b36672ebf82a106ada891fce/pkgcache	active
4.3.0	pkgconfig	2.0.3	2023-06-02T18:58:59Z	77b764e47359b9479503120fc4bce628	/cloud/project/ds_2023/r_4_2_cache/library/pkgconfig/2.0.3/77b764e47359b9479503120fc4bce628/pkgconfig	available
4.3.0	pkgdown	2.0.7	2023-06-02T18:59:00Z	416920115dcd9bbf0be3276924458614	/cloud/project/ds_2023/r_4_2_cache/library/pkgdown/2.0.7/416920115dcd9bbf0be3276924458614/pkgdown	active
4.3.0	pkgload	1.3.2	2023-06-02T18:59:00Z	a12c65c852e59d7ee98fb039f92f9ab2	/cloud/project/ds_2023/r_4_2_cache/library/pkgload/1.3.2/a12c65c852e59d7ee98fb039f92f9ab2/pkgload	available
4.3.0	praise	1.0.0	2023-06-02T18:59:00Z	52315c400d1cbe98d62dfbc81ddba0b6	/cloud/project/ds_2023/r_4_2_cache/library/praise/1.0.0/52315c400d1cbe98d62dfbc81ddba0b6/praise	active
4.3.0	prettyunits	1.1.1	2023-06-02T18:59:00Z	46d5751eee11030e8f5a381c6322f0ce	/cloud/project/ds_2023/r_4_2_cache/library/prettyunits/1.1.1/46d5751eee11030e8f5a381c6322f0ce/prettyunits	active
4.3.0	processx	3.8.1	2023-06-02T18:59:01Z	80155b0d80a3239d85c071255ae97486	/cloud/project/ds_2023/r_4_2_cache/library/processx/3.8.1/80155b0d80a3239d85c071255ae97486/processx	available
4.3.0	profvis	0.3.8	2023-06-02T18:59:01Z	c21b09ebe360684ae494b5fc9715cfce	/cloud/project/ds_2023/r_4_2_cache/library/profvis/0.3.8/c21b09ebe360684ae494b5fc9715cfce/profvis	available
4.3.0	progress	1.2.2	2023-06-02T18:59:01Z	9a7b08b586910db45625a78339b27d93	/cloud/project/ds_2023/r_4_2_cache/library/progress/1.2.2/9a7b08b586910db45625a78339b27d93/progress	available
4.3.0	promises	1.2.0.1	2023-06-02T18:59:02Z	304d69fd1dc7cc3409c8f42e5e83dce7	/cloud/project/ds_2023/r_4_2_cache/library/promises/1.2.0.1/304d69fd1dc7cc3409c8f42e5e83dce7/promises	available
4.3.0	prompt	1.0.1	2023-06-02T18:59:02Z	145cf285a3105af709d1fd9bae6202c5	/cloud/project/ds_2023/r_4_2_cache/library/prompt/1.0.1/145cf285a3105af709d1fd9bae6202c5/prompt	active
4.3.0	ps	1.7.5	2023-06-02T18:59:02Z	fa9467075d38e26444403ddf8e66eed9	/cloud/project/ds_2023/r_4_2_cache/library/ps/1.7.5/fa9467075d38e26444403ddf8e66eed9/ps	available
4.3.0	purrr	1.0.1	2023-06-02T18:59:02Z	e508c91302de7ea709e1b81f34a4f5fd	/cloud/project/ds_2023/r_4_2_cache/library/purrr/1.0.1/e508c91302de7ea709e1b81f34a4f5fd/purrr	active
4.3.0	ragg	1.2.5	2023-06-02T18:59:03Z	d131b4faa2dd297f94019dc8eb177190	/cloud/project/ds_2023/r_4_2_cache/library/ragg/1.2.5/d131b4faa2dd297f94019dc8eb177190/ragg	available
4.3.0	rappdirs	0.3.3	2023-06-02T18:59:03Z	aeaecc0253c64ab1eb783937e0c73d70	/cloud/project/ds_2023/r_4_2_cache/library/rappdirs/0.3.3/aeaecc0253c64ab1eb783937e0c73d70/rappdirs	available
4.3.0	rcmdcheck	1.4.0	2023-06-02T18:59:03Z	bc480ecf67810470905216df684cc3ad	/cloud/project/ds_2023/r_4_2_cache/library/rcmdcheck/1.4.0/bc480ecf67810470905216df684cc3ad/rcmdcheck	available
4.3.0	readr	2.1.4	2023-06-02T18:59:04Z	8756894501ebba572593570c2baa4861	/cloud/project/ds_2023/r_4_2_cache/library/readr/2.1.4/8756894501ebba572593570c2baa4861/readr	active
4.3.0	rematch2	2.1.2	2023-06-02T18:59:04Z	dc6c4044e30a47dddd7b87ca31ba3699	/cloud/project/ds_2023/r_4_2_cache/library/rematch2/2.1.2/dc6c4044e30a47dddd7b87ca31ba3699/rematch2	available
4.3.0	remotes	2.4.2	2023-06-02T18:59:04Z	3367163707d7dbba7665c5a647784fe9	/cloud/project/ds_2023/r_4_2_cache/library/remotes/2.4.2/3367163707d7dbba7665c5a647784fe9/remotes	available
4.3.0	renv	0.17.3	2023-06-02T18:59:04Z	7136bfdd870fed83d8b0cb89ebc5cb0a	/cloud/project/ds_2023/r_4_2_cache/library/renv/0.17.3/7136bfdd870fed83d8b0cb89ebc5cb0a/renv	available
4.3.0	rjson	0.2.21	2023-06-02T18:59:04Z	9ba2a4a0fd2148f1de42170fe0e93331	/cloud/project/ds_2023/r_4_2_cache/library/rjson/0.2.21/9ba2a4a0fd2148f1de42170fe0e93331/rjson	active
4.3.0	rlang	1.1.1	2023-06-02T18:59:04Z	e8d1d1373b11846da912106d917fbcd5	/cloud/project/ds_2023/r_4_2_cache/library/rlang/1.1.1/e8d1d1373b11846da912106d917fbcd5/rlang	active
4.3.0	rmarkdown	2.22	2023-06-02T18:59:04Z	0ef07f998790825a9b0eed3696fb60d7	/cloud/project/ds_2023/r_4_2_cache/library/rmarkdown/2.22/0ef07f998790825a9b0eed3696fb60d7/rmarkdown	active
4.3.0	roxygen2	7.2.3	2023-06-02T18:59:05Z	80acde3978a05ab69e8235682164d45b	/cloud/project/ds_2023/r_4_2_cache/library/roxygen2/7.2.3/80acde3978a05ab69e8235682164d45b/roxygen2	active
4.3.0	rpart	4.1.19	2023-06-02T18:59:05Z	54c8200837acc4987e71b3f776ddb950	/cloud/project/ds_2023/r_4_2_cache/library/rpart/4.1.19/54c8200837acc4987e71b3f776ddb950/rpart	active
4.3.0	rprojroot	2.0.3	2023-06-02T18:59:05Z	86eadb65c8f4d2838f8c140abd3e3fe0	/cloud/project/ds_2023/r_4_2_cache/library/rprojroot/2.0.3/86eadb65c8f4d2838f8c140abd3e3fe0/rprojroot	active
4.3.0	rstudioapi	0.14	2023-06-02T18:59:05Z	888dbcf91ccc5b07e6ca4be87cb11dd2	/cloud/project/ds_2023/r_4_2_cache/library/rstudioapi/0.14/888dbcf91ccc5b07e6ca4be87cb11dd2/rstudioapi	active
4.3.0	rversions	2.1.2	2023-06-02T18:59:06Z	fd602888614ab1f97e9e95368fd2c3ed	/cloud/project/ds_2023/r_4_2_cache/library/rversions/2.1.2/fd602888614ab1f97e9e95368fd2c3ed/rversions	available
4.3.0	sass	0.4.6	2023-06-02T18:59:06Z	4c8aa7e615f8de07127f49885e492b4b	/cloud/project/ds_2023/r_4_2_cache/library/sass/0.4.6/4c8aa7e615f8de07127f49885e492b4b/sass	active
4.3.0	sessioninfo	1.2.2	2023-06-02T18:59:06Z	a09e6ed7aab5b8494549c4d3a18cf7cc	/cloud/project/ds_2023/r_4_2_cache/library/sessioninfo/1.2.2/a09e6ed7aab5b8494549c4d3a18cf7cc/sessioninfo	active
4.3.0	shiny	1.7.4	2023-06-02T18:59:07Z	3d14f90122e1bed070f13460c2a19d02	/cloud/project/ds_2023/r_4_2_cache/library/shiny/1.7.4/3d14f90122e1bed070f13460c2a19d02/shiny	active
4.3.0	sourcetools	0.1.7.1	2023-06-02T18:59:07Z	8ae5e22c516ddbd7860d8f4db64a29c2	/cloud/project/ds_2023/r_4_2_cache/library/sourcetools/0.1.7-1/8ae5e22c516ddbd7860d8f4db64a29c2/sourcetools	available
4.3.0	spatial	7.3.16	2023-06-02T18:59:07Z	bce8c48d3219729cb6510040068d358f	/cloud/project/ds_2023/r_4_2_cache/library/spatial/7.3-16/bce8c48d3219729cb6510040068d358f/spatial	active
4.3.0	splines	4.3.0	2023-06-02T18:59:08Z	165e3709fc0a3b77854df0a07030bdbd	/cloud/project/ds_2023/r_4_2_cache/library/splines/4.3.0/165e3709fc0a3b77854df0a07030bdbd/splines	active
4.3.0	stats	4.3.0	2023-06-02T18:59:08Z	bb23e0ca1b6b845a0073cf9a3806f609	/cloud/project/ds_2023/r_4_2_cache/library/stats/4.3.0/bb23e0ca1b6b845a0073cf9a3806f609/stats	active
4.3.0	stats4	4.3.0	2023-06-02T18:59:08Z	a94401c42d71a47d31b846ee7d159665	/cloud/project/ds_2023/r_4_2_cache/library/stats4/4.3.0/a94401c42d71a47d31b846ee7d159665/stats4	base
4.3.0	stringi	1.7.12	2023-06-02T18:59:08Z	62afc461a011b765c21e8d04f700adf4	/cloud/project/ds_2023/r_4_2_cache/library/stringi/1.7.12/62afc461a011b765c21e8d04f700adf4/stringi	active
4.3.0	stringr	1.5.0	2023-06-02T18:59:08Z	68679ecf4324332348e55075f5f1c850	/cloud/project/ds_2023/r_4_2_cache/library/stringr/1.5.0/68679ecf4324332348e55075f5f1c850/stringr	active
4.3.0	survival	3.5.5	2023-06-02T18:59:08Z	72b7b6b953483976b11bd54daf5f2e24	/cloud/project/ds_2023/r_4_2_cache/library/survival/3.5-5/72b7b6b953483976b11bd54daf5f2e24/survival	active
4.3.0	sys	3.4.2	2023-06-02T18:59:09Z	89525fe84d59d2b083ff9d68e3aa0154	/cloud/project/ds_2023/r_4_2_cache/library/sys/3.4.2/89525fe84d59d2b083ff9d68e3aa0154/sys	available
4.3.0	systemfonts	1.0.4	2023-06-02T18:59:09Z	0d1458c32f71663d0e0537b9b4e41818	/cloud/project/ds_2023/r_4_2_cache/library/systemfonts/1.0.4/0d1458c32f71663d0e0537b9b4e41818/systemfonts	active
4.3.0	tcltk	4.3.0	2023-06-02T18:59:09Z	ca88094cda2fc3b0f74dd572d38cf065	/cloud/project/ds_2023/r_4_2_cache/library/tcltk/4.3.0/ca88094cda2fc3b0f74dd572d38cf065/tcltk	active
